"","producto","precio","tienda","tipo"
"1","LAPICES  12  COLORES    HEXAGONALES       FABER CASTELL",2290,"DIMEIGGS","COLORES"
"2","LAPICES  12  COLORES  ECO  HEXAGONALES       FABER CASTELL",990,"DIMEIGGS","COLORES"
"3","LAPICES  24  COLORES  UNIPUNTA  HEXAGONALES       PAPER MATE",2890,"DIMEIGGS","COLORES"
"4","LAPICES  12  COLORES    HEXAGONALES       PAPER MATE",1390,"DIMEIGGS","COLORES"
"5","LAPICES  10  COLORES  METALICOS  HEXAGONALES   FABER CASTELL",2990,"DIMEIGGS","COLORES"
"6","LAPICES  60  COLORES    HEXAGONALES       FABER CASTELL",19990,"DIMEIGGS","COLORES"
"7","LAPICES  50  COLORES  STILNOVO  HEXAGONALES       GIOTTO",16990,"DIMEIGGS","COLORES"
"8","LAPICES  36  COLORES  STILNOVO  HEXAGONALES       GIOTTO",5990,"DIMEIGGS","COLORES"
"9","LAPICES  24  COLORES  STILNOVO  HEXAGONALES       GIOTTO",3790,"DIMEIGGS","COLORES"
"10","LAPICES  6  COLORES  NEON  HEXAGONALES       PAPER MATE",1350,"DIMEIGGS","COLORES"
"11","LAPICES  12  COLORES  IMAGIA  HEXAGONALES       TORRE",2690,"DIMEIGGS","COLORES"
"12","LAPICES  12  COLORES  JUMBO  HEXAGONALES       MURANO",2290,"DIMEIGGS","COLORES"
"13","LAPICES  24  COLORES    HEXAGONALES       MURANO",1150,"DIMEIGGS","COLORES"
"14","LAPICES  12  COLORES    HEXAGONALES       MURANO",5990,"DIMEIGGS","COLORES"
"15","LAPICES  12  COLORES  PEKES  HEXAGONALES       TORRE",NA,"DIMEIGGS","COLORES"
"16","12 Lápices de Color Largos Artel ",1590,"NACIONAL","COLORES"
"17","24 Lápices de Color Largos Hexagonales Faber Castell ",6890,"NACIONAL","COLORES"
"18","48 Lápices de Colores Color Peps Maped",NA,"NACIONAL","COLORES"
"19","Estuche 12 Lápices Acuarelables Artel",1990,"NACIONAL","COLORES"
"20","Estuche 12 Lápices Bicolores Artel",2490,"NACIONAL","COLORES"
"21","Estuche 12 Lápices de Colores Con Goma Maped",1990,"NACIONAL","COLORES"
"22","Estuche 12 Lápices de Colores Cortos Artel",890,"NACIONAL","COLORES"
"23","Estuche 12 Lápices de Colores Maped",2390,"NACIONAL","COLORES"
"24","Estuche 12 Lápices de Colores Maxi Maped",NA,"NACIONAL","COLORES"
"25","Estuche 12 Lápices Duo 24 Colores Maped",3690,"NACIONAL","COLORES"
"26","Estuche 12 Maxi Lápices de Colores Artel",2990,"NACIONAL","COLORES"
"27","Estuche 24 Lápices de Colores Largos Artel",3190,"NACIONAL","COLORES"
"28","Estuche 24 Lápices de Colores Largos Maped",4590,"NACIONAL","COLORES"
"29","Estuche 36 Lápices de Colores Largos Maped",7890,"NACIONAL","COLORES"
"30","Estuche Metálico 48 Lápices Acuarelables Maped",20990,"NACIONAL","COLORES"
"31","Lápices de Color 60 Colores",20990,"NACIONAL","COLORES"
"32","Lápices de Color Grip 12 Colores",3490,"NACIONAL","COLORES"
"33","Lapiz Acuarelable  Grip Caja  24 Colores",7890,"NACIONAL","COLORES"
"34","Mi Kit para Colorear Maped",NA,"NACIONAL","COLORES"
"35","24 Lápices Bicolor 48 Colores Faber Castell",11590,"NACIONAL","COLORES"
"36","Estuche Metálico 48 Lápices de Colores Maped",NA,"NACIONAL","COLORES"
"37","Estuche metalico Jolly lapiz 48 colores",26290,"NACIONAL","COLORES"
"38","Maleta Regalo 65 Piezas Artel",14990,"NACIONAL","COLORES"
