"","producto","precio","tienda","tipo"
"1","GOMA DE BORRAR  PLASTICA  LEGACY GRANDE  526-50         STABILO",490,"DIMEIGGS","GOMA"
"2","GOMA DE BORRAR  PLASTICA  COLORES  PASTEL  GRANDE         LAVORO",490,"DIMEIGGS","GOMA"
"3","GOMA DE BORRAR  PLASTICA  EN BLISTER    3  UNIDADES      STABILO",990,"DIMEIGGS","GOMA"
"4","GOMA DE BORRAR  MIGA  COLORES  PASTEL  RECTANGULAR         LAVORO",450,"DIMEIGGS","GOMA"
"5","GOMA DE BORRAR  PLASTICA  EN BLISTER  7085-20         FABER CASTELL",1290,"DIMEIGGS","GOMA"
"6","GOMA DE BORRAR  MIGA  OFFICE  GRANDE  4  B     MURANO",210,"DIMEIGGS","GOMA"
"7","GOMA DE BORRAR  PLASTICA  CHICA  526-30         MURANO",130,"DIMEIGGS","GOMA"
"8","GOMA DE BORRAR  PLASTICA  GRANDE           TORRE",390,"DIMEIGGS","GOMA"
"9","GOMA DE BORRAR  PLASTICA  GRANDE  526-50         MURANO",210,"DIMEIGGS","GOMA"
"10","GOMA DE BORRAR  MIGA  EN BLISTER  GRANDE         MURANO",990,"DIMEIGGS","GOMA"
"11","GOMA DE BORRAR  MIGA  COLORES  PASTEL    6  B     LAVORO",450,"DIMEIGGS","GOMA"
"12","GOMA DE BORRAR  PLASTICA    7085-20         FABER CASTELL",890,"DIMEIGGS","GOMA"
"13","GOMA DE BORRAR  MIGA    MEDIANA         MURANO",90,"DIMEIGGS","GOMA"
"14","GOMA DE BORRAR  MIGA    GRANDE         MURANO",150,"DIMEIGGS","GOMA"
"15","GOMA DE BORRAR  MIGA    GRANDE         MURANO",390,"DIMEIGGS","GOMA"
"16","GOMA DE BORRAR  MIGA    CHICA         MURANO",70,"DIMEIGGS","GOMA"
"17","CINTA CORRECTORA CON GOMA DE BORRAR ",1390,"DIMEIGGS","GOMA"
"18","Blister 1 Goma S20 Miga Pan Suavizada Factis ",590,"NACIONAL","GOMA"
"19","Blister 2 Gomas de Borrar 36R Factis",790,"NACIONAL","GOMA"
"20","Blister 3 Gomas de Borrar Minisofty",990,"NACIONAL","GOMA"
"21","Blister 3 Gomas de Borrar Technic 300 Maped",1090,"NACIONAL","GOMA"
"22","Blister Goma de Borrar Gom Stick Maped",1090,"NACIONAL","GOMA"
"23","Blister Portagoma + Repuesto Maped",1990,"NACIONAL","GOMA"
"24","Blíster Sacapunta + Goma Copper Rosa Milan",2490,"NACIONAL","GOMA"
"25","Goma de Borrar P20 Factis",490,"NACIONAL","GOMA"
"26","Goma de Borrar S20 Factis",690,"NACIONAL","GOMA"
"27","Goma de Borrar XL Factis",1090,"NACIONAL","GOMA"
"28","Set 2 Gomas De Borrar S20 Factis",1090,"NACIONAL","GOMA"
"29","Blíster Sacapunta + Goma + 2 Respuestos Silver Milan",2990,"NACIONAL","GOMA"
"30","Blíster Sacapunta + Goma Copper Negro Milan",2490,"NACIONAL","GOMA"
"31","Blíster Sacapunta + Goma Look Colores Milan",1990,"NACIONAL","GOMA"
