"","producto","precio","tienda","tipo"
"1","LAPIZ  GRAFITO      2HB  REDONDO  1205   FABER CASTELL",170,"DIMEIGGS","GRAFITO"
"2","LAPIZ  GRAFITO  GROOVE    JUMBO    TRIANGULAR  12 UNIDADES    LYRA",750,"DIMEIGGS","GRAFITO"
"3","LAPIZ  GRAFITO  N2  HEXAGONAL       12 UNIDADES    MURANO",100,"DIMEIGGS","GRAFITO"
"4","LAPIZ  GRAFITO  IMAGIA    HB N2  HEXAGONAL  12 UNIDADES    TORRE",120,"DIMEIGGS","GRAFITO"
"5","LAPIZ  GRAFITO  JUMBO      TRIANGULAR  6 UNIDADES    MURANO",250,"DIMEIGGS","GRAFITO"
"6","LAPIZ  GRAFITO  MIRADO  CUERPOS DE COLOR N2 REDONDO 12 UN PAPER MATE",160,"DIMEIGGS","GRAFITO"
"7","LAPIZ  GRAFITO  CON GOMA  N2      6 UNIDADES    LAVORO",990,"DIMEIGGS","GRAFITO"
"8","SET  ESCOLAR  LAPICES GRAFITO  Y GOMAS DISEÑO         LAVORO",2290,"DIMEIGGS","GRAFITO"
"9","SET  ESCOLAR  LLAMA Y PEREZOSO    5  PCS     LAVORO",990,"DIMEIGGS","GRAFITO"
"10","SET  ESCOLAR  ESPACIAL     5  PCS     LAVORO",990,"DIMEIGGS","GRAFITO"
"11","SET  ESCOLAR  SIRENA    5  PCS     LAVORO",990,"DIMEIGGS","GRAFITO"
"12","SET  ESCOLAR  UNICORNIO Y ARCOIRIS    5  PCS     LAVORO",990,"DIMEIGGS","GRAFITO"
"13","LAPIZ  GRAFITO  JUMBO    2HB  TRIANGULAR  12 UNIDADES    BIC",250,"DIMEIGGS","GRAFITO"
"14","LAPIZ  GRAFITO  SUPER SOFT  BLACK  BLISTER  4 UNIDADES  FABER CASTELL",1990,"DIMEIGGS","GRAFITO"
"15","LAPIZ  GRAFITO    2HB  TRIANGULAR  1205  12 UNIDADES    FABER CASTELL",170,"DIMEIGGS","GRAFITO"
"16","LAPIZ  GRAFITO  RESINA    HB  TRIANGULAR  12 UNIDADES    MURANO",100,"DIMEIGGS","GRAFITO"
"17","LAPIZ  GRAFITO  EVOLUTION    2HB  HEXAGONAL  12 UNIDADES    BIC",140,"DIMEIGGS","GRAFITO"
"18","LAPIZ  GRAFITO      2HB  HEXAGONAL     FABER CASTELL",170,"DIMEIGGS","GRAFITO"
"19","LAPIZ  GRAFITO  TECNICO  GOLD  HB  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"20","LAPIZ GRAFITO TECNICO GOLD  3B CON GOMA HEXAGONAL 1221  FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"21","LAPIZ  GRAFITO  TECNICO  GOLD  6B  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"22","LAPIZ  GRAFITO  TECNICO  GOLD  4B  HEXAGONAL     FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"23","LAPIZ  GRAFITO  TECNICO  GOLD  H  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"24","LAPIZ  GRAFITO  TECNICO  GOLD  B   HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"25","LAPIZ  GRAFITO      N2  REDONDO   12 UNIDADES    MURANO",100,"DIMEIGGS","GRAFITO"
"26","LAPIZ  GRAFITO  TECNICO  GOLD  2B  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"27","LAPIZ  GRAFITO  TECNICO  GOLD  5B  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"28","LAPIZ  GRAFITO  GROOVE SLIM   N2    TRIANGULAR  12 UNIDADES    LYRA",250,"DIMEIGGS","GRAFITO"
"29","LAPIZ  GRAFITO      2HB  TRIANGULAR  12 UNIDADES    MURANO",100,"DIMEIGGS","GRAFITO"
"30","LAPIZ  GRAFITO  CON GOMA    N2  HEXAGONAL   12 UNIDADES    MURANO",110,"DIMEIGGS","GRAFITO"
"31","12 Lápices Grafito HB N°2 Faber Castell",2990,"NACIONAL","GRAFITO"
"32","2 Lápices Grafito Jumbo Triangular Maped",1090,"NACIONAL","GRAFITO"
"33","Blíster 2 Bicolor 2HB/Rojo + Sacapuntas Jumbo Artel",1090,"NACIONAL","GRAFITO"
"34","Estuche 10 Lápices Bicolor 2Hb/Rojo Artel",1590,"NACIONAL","GRAFITO"
"35","Estuche 12 Lápices Grafito HB Con Goma Artel",1490,"NACIONAL","GRAFITO"
"36","Estuche 12 Lápices Grafito HB Sin Goma Artel",1390,"NACIONAL","GRAFITO"
"37","GRAFITO WRAPS ENCANTADO HEXAGONAL 4 UNID",1090,"NACIONAL","GRAFITO"
"38","GRAFITO WRAPS JUNGLA HEXAGONAL 4 UNID",1090,"NACIONAL","GRAFITO"
"39","Lápiz Grafito 2HB pastel 42 unid. Artel",NA,"NACIONAL","GRAFITO"
"40","Lapiz Grafito HB Nº2 Redondo 12 unid.",2790,"NACIONAL","GRAFITO"
"41","Set 4 Lápices Bicolor Artel",1590,"NACIONAL","GRAFITO"
"42","Set Escolar 2 Lápices Bicolor Artel",1390,"NACIONAL","GRAFITO"
"43","Set Escolar 2 Lápices Grafito Artel",1390,"NACIONAL","GRAFITO"
"44","Set Escolar Maxi Artel",1590,"NACIONAL","GRAFITO"
"45","Caja 12 ECOLápices de Grafito Jumbo Faber Castell",4990,"NACIONAL","GRAFITO"
"46","Caja 50 Lápiz Grafito Triangulares 2Hb Artel",4990,"NACIONAL","GRAFITO"
"47","Estuche 50 ECOLápices de Colores SuperSoft Faber Castell ",18990,"NACIONAL","GRAFITO"
