"","producto","precio","tienda","tipo"
"1","LAPIZ PASTA INKJOY PUNTA MEDIA BLISTER  3 UNIDADES 1 MM PAPER MATE",1190,"DIMEIGGS","PASTA"
"2","LAPIZ TINTA GEL INKJOY PUNTA FINA BLISTER 4 UNIDADES 0,7MM PAPER MATE",3990,"DIMEIGGS","PASTA"
"3","SET UNIVERSITARIO DE PAPER MATER BLISTER ",3100,"DIMEIGGS","PASTA"
"4","LP LÁPIZ CORRECTOR + 3 BOLIGRAFOS COLORES BÁSICOS",2190,"DIMEIGGS","PASTA"
"5","BOLIGRAFO FLAIR CANDY POP 24 UNIDADES",12990,"DIMEIGGS","PASTA"
"6","FLAIR CANDY POP MEDIUM 6/CD",3350,"DIMEIGGS","PASTA"
"7","LAPIZ  PASTA  INKJOY PUNTA FINA ROJO CAJA 12 UN 0,7 MM PAPER MATE",190,"DIMEIGGS","PASTA"
"8","LAPIZ PASTA INKJOY PUNTA FINA NEGRO CAJA 12 UN 0,7 MM PAPER MATE",190,"DIMEIGGS","PASTA"
"9","MARCADOR STABILO POINT 88 ROJO",600,"DIMEIGGS","PASTA"
"10","BOLIGRAFO GEL INKJOY NEGRO 400 ST PAPER MATE        PAPERMATE",2990,"DIMEIGGS","PASTA"
"11","BOLIGRAFO GEL INKJOY ROJO 400 ST PAPER MATE        PAPERMATE",230,"DIMEIGGS","PASTA"
"12","BOLIGRAFO GEL INKJOY AZUL 400 ST PAPER MATE        PAPERMATE",190,"DIMEIGGS","PASTA"
"13","LAPIZ PASTA CRISTAL PUNTA MEDIA COLORES SURTIDOS CAJA 12 UN 1,2 MM BIC",150,"DIMEIGGS","PASTA"
"14","LAPIZ  PASTA  CRISTAL  PUNTA MEDIA   VERDE  1 UNIDAD   1  MM BIC",2490,"DIMEIGGS","PASTA"
"15","LAPIZ PASTA INKJOY PUNTA MEDIA COLORES CAJA 12 UN  1 MM PAPER MATE",2490,"DIMEIGGS","PASTA"
"16","LAPIZ  PASTA PUNTA METALICA PUNTA MEDIA NEGRO CAJA 50 UN 1 MM MURANO",1690,"DIMEIGGS","PASTA"
"17","BOLIGRAFO PATAGONIA NEGRO EN CAJA LAVORO",2490,"DIMEIGGS","PASTA"
"18","BOLIGRAFO PATAGONIA ARENA EN CAJA LAVORO",2690,"DIMEIGGS","PASTA"
"19","BOLIGRAFO ACHAO ARENA EN CAJA",2490,"DIMEIGGS","PASTA"
"20","BOLIGRAFO PATAGONIA ORO EN CAJA LAVORO",2690,"DIMEIGGS","PASTA"
"21","BOLIGRAFO CHILOE NEGRO EN CAJA LAVORO",8490,"DIMEIGGS","PASTA"
"22","BOLIGRAFO TORRES DEL PAINE ORO ROSA EN CAJA LAVORO",1390,"DIMEIGGS","PASTA"
"23","BOLIGRAFO CHILOE ORO EN CAJA LAVORO",1690,"DIMEIGGS","PASTA"
"24","BOLIGRAFO PARKER JOTTER ACERO ",4290,"DIMEIGGS","PASTA"
"25","LAPIZ  PASTA  TRILUX 035  PUNTA FINA   AZUL    0,8  MM FABER CASTELL",1590,"DIMEIGGS","PASTA"
"26","BOLIGRAFO TRILUX PUNTA MEDIA ROJO-AZUL-NEGRO 3UN 1MM FABER CASTELL",250,"DIMEIGGS","PASTA"
"27","BOLIGRAFO TRILUX PUNTA MEDIA PASTEL BLISTER 6UN 1MM FABER CASTELL",NA,"DIMEIGGS","PASTA"
"28","BOLIGRAFO TRILUX PUNTA MEDIA COLORES BLISTER 10 UN 1 MM  FABER CASTELL",NA,"DIMEIGGS","PASTA"
"29","LAPIZ PASTA PTA MEDIA 4EN1 FASHION 1 UN",NA,"DIMEIGGS","PASTA"
"30","LAPIZ  PASTA  NEW ORANGE   PUNTA FINA   AZUL   1 UNIDAD   0,8  MM BIC",NA,"DIMEIGGS","PASTA"
"31","Blíster 2 Bolígrafo Gel Inkjoy Surtido 0,7mm. Paper Mate",4790,"NACIONAL","PASTA"
"32","Blister 2 Bolígrafos Inkjoy Gel Azul 0,7mm. Paper Mate",4790,"NACIONAL","PASTA"
"33","Blister 2 Roller Energel 0,5mm. Negro / Azul Pentel ",3890,"NACIONAL","PASTA"
"34","Blister 2 Roller Energel 0,7mm. Negro / Azul Pentel ",3890,"NACIONAL","PASTA"
"35","Blister 3 Bolígrafo Punta Fina Azul Bic ",1490,"NACIONAL","PASTA"
"36","Blíster 3 Marcador Metálico Bronce Silver GoldSharpie ",4190,"NACIONAL","PASTA"
"37","Blíster 4 Bolígrafo Flair Paper Mate",3290,"NACIONAL","PASTA"
"38","Blíster 4 Bolígrafo Ice Azul Rojo Verde Negro 1mm. Maped",1190,"NACIONAL","PASTA"
"39","Blíster 4 Bolígrafo Ink Joy Retráctil Paper Mate",2190,"NACIONAL","PASTA"
"40","Blister 5 Bolígrafos Glitter Gel Artel",2790,"NACIONAL","PASTA"
"41","Blíster 6 Bolígrafo Punta Fina Bic",2390,"NACIONAL","PASTA"
"42","Blíster 6 Bolígrafos Fx Artel",1890,"NACIONAL","PASTA"
"43","Blíster 8 Bolígrafo Joy Retráctil Paper Mate",4390,"NACIONAL","PASTA"
"44","Blister Bolígrafo Frixion Borrable Azul Pilot",3290,"NACIONAL","PASTA"
"45","Blister Bolígrafo Frixion Borrable Negro Pilot",3290,"NACIONAL","PASTA"
"46","Blíster Bolígrafo Ink Joy Paper Mate",2790,"NACIONAL","PASTA"
"47","Blister Bolígrafo Lleve 8 Pague 6 Paper Mate",3590,"NACIONAL","PASTA"
"48","Blíster Corrector Mini 3 Unidades Liquid Paper",3890,"NACIONAL","PASTA"
"49","Blíster Energel Makkuro 0,7mm. Colores Surtidos Pentel",1390,"NACIONAL","PASTA"
"50","Blíster Mate Pack Universitario Pack Paper ",3990,"NACIONAL","PASTA"
